产品名称,产品昵称,简称,运营商/平台,单机/网游,细分品类
闲来安徽麻将,,,其他,网游,棋牌
口袋斗牛,,,其他,网游,棋牌
霸王龙模拟器3D,,,其他,单机弱联网,模拟经营
欢乐途游斗地主,,,其他,网游,棋牌
松鼠家乡棋牌,,,其他,网游,棋牌
亲友常德棋牌,,,其他,网游,棋牌
看图猜成语,,,其他,单机弱联网,休闲益智
万圣节化妆舞会,,,其他,单机弱联网,休闲益智
鱼丸游戏,,,其他,网游,棋牌
正宗中国麻将,,,其他,网游,棋牌
飞行棋,,,其他,单机弱联网,棋牌
土豪金麻将,,,其他,网游,棋牌
猜成语字谜,,,其他,单机弱联网,休闲益智
双人对战游戏,,,其他,网游,休闲益智
皮皮跑得快,,,其他,网游,棋牌
孔明卡五星,,,其他,网游,棋牌
还有这种操作2,,,其他,单机弱联网,休闲益智
天天斗地主,,,其他,网游,棋牌
克鲁赛德战记,,,其他,网游,ARPG
大唐河北麻将,,,其他,网游,棋牌
开心爱消除,,,其他,单机弱联网,消除
酷玩麻将,,,其他,网游,棋牌
河洛杠次,,,其他,网游,棋牌
四海茶馆,,,其他,网游,棋牌
圣诞老人：骑车游戏,,,其他,单机弱联网,休闲益智
越狱(爬酷),,,其他,单机弱联网,休闲益智
一花德州扑克,,,其他,网游,棋牌
Fruit Crush2,,,其他,单机弱联网,消除
川麻圈,,,其他,网游,棋牌
电玩捕鱼,,,其他,网游,休闲益智
羽毛球高高手,,,其他,单机弱联网,体育竞技
来一把,,,其他,网游,棋牌
心悦辽宁麻将,,,其他,网游,棋牌
斗地主全民版,,,其他,网游,棋牌
极无双,,,其他,网游,ARPG
霸刀战神,,,其他,网游,ARPG
巴蜀麻将,,,其他,网游,棋牌
模拟遥控飞机,,,其他,单机弱联网,休闲益智
人鱼公主大闯关,,,其他,单机弱联网,休闲益智
山水广西麻将,,,其他,网游,棋牌
微乐捕鱼千炮版,,,其他,网游,休闲益智
章鱼抓娃娃,,,其他,单机弱联网,休闲益智
乐享四川麻将,,,其他,网游,棋牌
真人天天斗地主,,,其他,网游,棋牌
欢乐广东麻将,,,其他,网游,棋牌
捉迷藏大作战,,,其他,网游,休闲益智
火线精英OL,,,其他,网游,枪战射击
筑志红中麻将,,,其他,网游,棋牌
激战奇轮3,,,其他,单机弱联网,ARPG
爆笑虫子之消消乐,,,其他,单机弱联网,消除
巴啦啦魔法美甲2,,,其他,单机弱联网,休闲益智
猎豹模拟,,,其他,单机弱联网,模拟经营
未来飞小鸡,,,其他,网游,棋牌
亲友湖南棋牌,,,其他,网游,棋牌
我的宠物艾丽思,,,其他,单机弱联网,休闲益智
四人斗地主,,,其他,网游,棋牌
超神学院,,,其他,网游,ARPG
火影战记,,,其他,网游,ARPG
天才宠物秀,,,其他,单机弱联网,休闲益智
天天斗地主（疯狂版）,,,其他,网游,棋牌
Rush,,,其他,单机弱联网,休闲益智
黑龙江麻将,,,波克,网游,棋牌
Free Fire,,,其他,网游,枪战射击
河北家乡棋牌,,,其他,网游,棋牌
超时空机战,,,其他,网游,飞行射击
