产品名称,产品昵称,简称,运营商/平台,单机/网游,细分品类
全民炸翻天,,,其他,单机弱联网,棋牌
千王AAA,,,其他,单机弱联网,棋牌
奇葩斗地主,,,其他,单机弱联网,棋牌
皮皮四川麻将,,,其他,单机弱联网,棋牌
南通长牌,,,其他,单机弱联网,棋牌
陌陌麻将,,,其他,网游,棋牌
明星三缺一国标版2015,,,其他,单机弱联网,棋牌
明星斗地主,,,触控,单机弱联网,棋牌
咪咕棋牌,,,其他,单机弱联网,棋牌
马上斗地主,,,联众,单机弱联网,棋牌
麻将探险之旅HD,,,其他,单机弱联网,棋牌
麻将明星3缺1,,,其他,单机弱联网,棋牌
麻将 神来也16张麻将,,,其他,单机弱联网,棋牌
萝莉大赢家,,,其他,网游,棋牌
单机斗地主（开心版）,,,联众,网游,棋牌
癞子斗地主,,,其他,单机弱联网,棋牌
快乐斗地主,,,其他,单机弱联网,棋牌
酷酷斗地主,,,其他,单机弱联网,棋牌
口袋德州扑克,,,其他,单机弱联网,棋牌
空当接龙,,,其他,单机弱联网,棋牌
开心三张,,,其他,单机弱联网,棋牌
开心斗地主,,,其他,网游,棋牌
卡五星麻将,,,其他,单机弱联网,棋牌
军棋翻翻棋,,,其他,单机弱联网,棋牌
军棋,,,其他,单机弱联网,棋牌
精品中国象棋,,,JJ,单机弱联网,棋牌
经典单机麻将,,,其他,单机弱联网,棋牌
金游掼蛋,,,其他,单机弱联网,棋牌
金榜斗地主,,,其他,单机弱联网,棋牌
街机麻将合集2,,,其他,单机弱联网,棋牌
接龙,,,其他,单机弱联网,棋牌
嘉米麻将,,,其他,单机弱联网,棋牌
吉祥长春麻将,,,其他,单机弱联网,棋牌
吉祥棋牌,,,其他,网游,棋牌
火拼德州,,,其他,网游,棋牌
皇冠赢三张,,,其他,单机弱联网,棋牌
皇冠德州扑克,,,其他,网游,棋牌
欢乐围棋,,,其他,单机弱联网,棋牌
欢乐途游麻将,,,其他,网游,棋牌
欢乐升级,,,腾讯,网游,棋牌
欢乐拼三张,,,腾讯,网游,棋牌
欢乐逗地主,,,其他,单机弱联网,棋牌
欢乐斗棋牌,,,腾讯,网游,棋牌
欢乐斗地主2017,,,其他,单机弱联网,棋牌
湖南跑得快,,,其他,单机弱联网,棋牌
国际象棋,,,其他,网游,棋牌
贵阳麻将-抓鸡,,,其他,单机弱联网,棋牌
掼蛋,,,其他,单机弱联网,棋牌
够级,,,其他,单机弱联网,棋牌
干瞪眼,,,其他,单机弱联网,棋牌
富豪斗地主,,,其他,单机弱联网,棋牌
疯狂麻将,,,其他, 单机弱联网,棋牌
疯狂斗牛,,,其他,单机弱联网,棋牌
博雅斗牛,,,博雅,单机弱联网,棋牌
疯锄大Ｄ,,,其他,单机弱联网,棋牌
飞行棋大战,,,其他,单机弱联网,棋牌
二人斗地主,,,其他,单机弱联网,棋牌
多乐象棋,,,其他,网游,棋牌
够级,,,其他,网游,棋牌
多乐保皇,,,其他,网游,棋牌
斗牛牛,,,其他,单机弱联网,棋牌
斗地主赢话费,,,其他,单机弱联网,棋牌
斗地主-单机游戏,,,其他,单机弱联网,棋牌
斗地主（单机版）,,,其他,单机弱联网,棋牌
斗地主,,,其他,单机弱联网,棋牌
单机游戏斗地主,,,其他,单机弱联网,棋牌
单机拖拉机升级,,,其他,单机弱联网,棋牌
单机甜心麻将,,,其他,单机弱联网,棋牌
单机跑得快,,,其他,单机弱联网,棋牌
单机麻将,,,其他,单机弱联网,棋牌
单机麻将,,,其他,单机弱联网,棋牌
单机斗地主游戏,,,其他,单机弱联网,棋牌
单机斗地主-波克,,,联众,单机弱联网,棋牌
单机斗地主,,,JJ,单机弱联网,棋牌
单机斗地主,,,其他,单机弱联网,棋牌
单机斗地主,,,其他,单机弱联网,棋牌
四海单机斗地主,,,其他,单机弱联网,棋牌
单机斗地主,,,其他,单机弱联网,棋牌
大连打滚子,,,其他,单机弱联网,棋牌
单机麻将-开心版,,,联众,单机弱联网,棋牌
博雅中国象棋,,,博雅,单机弱联网,棋牌
博雅四人斗地主,,,博雅,单机弱联网,棋牌
博雅四川棋牌,,,博雅,单机弱联网,棋牌
博雅二人麻将,,,博雅,单机弱联网,棋牌
博雅斗地主,,,博雅,单机弱联网,棋牌
博雅德州扑克,,,其他,网游,棋牌
博雅锄大地,,,博雅,单机弱联网,棋牌
波克棋牌,,,波克,单机弱联网,棋牌
波克斗地主,,,波克,单机弱联网,棋牌
边锋斗地主,,,其他,网游,棋牌
豹子王,,,其他,单机弱联网,棋牌
保皇,,,其他,单机弱联网,棋牌
保皇,,,其他,单机弱联网,棋牌
百旺跑胡子,,,其他,单机弱联网,棋牌
白金岛跑得快,,,其他,网游,棋牌
暗棋2,,,其他,单机弱联网,棋牌
爱掼蛋,,,其他,单机弱联网,棋牌
欢乐五子棋,,,腾讯,网游,棋牌
QQ麻将,,,腾讯,网游,棋牌
腾讯斗地主,,,腾讯,网游,棋牌
KK欢乐斗地主,,,其他,单机弱联网,棋牌
JJ麻将,,,JJ,单机弱联网,棋牌
JJ欢乐斗地主,,,JJ,单机弱联网,棋牌
JJ德州扑克,,,JJ,单机弱联网,棋牌
JJ比赛,,,JJ,单机弱联网,棋牌
FreeCell,,,其他,单机弱联网,棋牌
沼泽派对,,,其他,单机弱联网,模拟经营
战舰少女R,,,其他,网游,模拟经营
战舰少女,,,其他,网游,卡牌RPG
要塞围城,,,其他,单机弱联网,模拟经营
小小军团,,,其他,单机弱联网,卡牌RPG
小时代（官方游戏）,,,网易,网游,模拟经营
我的世界（国际）,,,其他,单机弱联网,模拟经营
我的明星女友,,,其他,单机弱联网,模拟经营
头发沙龙2,,,其他,单机弱联网,模拟经营
甜甜萌物语,,,其他,网游,模拟经营
天天富翁,,,腾讯,网游,棋牌
水族馆,,,其他,单机弱联网,模拟经营
时尚达人,,,其他,单机弱联网,模拟经营
全民小镇,,,腾讯,网游,模拟经营
全民农场,,,腾讯,网游,模拟经营
全民闯天下,,,腾讯,网游,卡牌RPG
I LOVE PASTA（全民餐d）,,,其他,网游,模拟经营
晴天小猫,,,其他,单机弱联网,模拟经营
烹饪发烧友,,,其他,单机弱联网,模拟经营
暖暖环游世界,,,其他,网游,模拟经营
暖暖的换装物语,,,其他,单机弱联网,模拟经营
模拟山羊,,,其他,单机弱联网,模拟经营
模拟人生畅玩版,,,其他,单机弱联网,休闲益智
模拟农场16,,,其他,单机弱联网,模拟经营
模拟农场,,,其他,单机弱联网,模拟经营
模拟城市：建设,,,其他,单机弱联网,模拟经营
米拉奇战记,,,其他,单机弱联网,模拟经营
梦想城镇,,,其他,单机弱联网,模拟经营
萌娘餐厅,,,其他,单机弱联网,模拟经营
猫咖啡店,,,其他,单机弱联网,模拟经营
刘备磕头,,,其他,单机弱联网,模拟经营
料理妈妈,,,其他,单机弱联网,模拟经营
口袋战争,,,其他,网游,战争策略
开心商店,,,其他,单机弱联网,模拟经营
开心农场:糖果节,,,其他,单机弱联网,模拟经营
开心农场,,,其他,单机弱联网,模拟经营
卡通农场,,,其他,网游,模拟经营
僵尸农场-植物僵尸大乱斗,,,其他,单机弱联网,模拟经营
家园,,,其他,单机弱联网,模拟经营
皇后成长计划,,,其他,单机弱联网,模拟经营
欢乐盖大楼,,,其他,单机弱联网,模拟经营
合战忍者村,,,其他,单机弱联网,模拟经营
怪物的世界,,,其他,单机弱联网,模拟经营
怪兽传奇,,,其他,单机弱联网,模拟经营
范冰冰魔范学院,,,其他,网游,模拟经营
饭店物语,,,其他,单机弱联网,模拟经营
帝王三国,,,其他,网游,回合
大型超市,,,其他,单机弱联网,模拟经营
大海贼冒险岛,,,其他,单机弱联网,模拟经营
大富翁4Fun,,,其他,单机弱联网,模拟经营
大都市,,,其他,单机弱联网,模拟经营
吃货大食堂,,,其他,单机弱联网,模拟经营
城市岛屿3:模拟城市,,,其他,单机弱联网,模拟经营
城市岛屿2:建筑故事,,,其他,单机弱联网,模拟经营
超级女明星,,,其他,单机弱联网,模拟经营
餐厅物语,,,其他,网游,模拟经营
部落探险,,,其他,单机弱联网,模拟经营
宝宝认时钟,,,其他,单机弱联网,模拟经营
巴啦啦魔法变身,,,其他,单机弱联网,模拟经营
LINE PLAY,,,其他,网游,模拟经营
Hello Kitty 咖啡厅,,,其他,单机弱联网,模拟经营
主公莫慌,,,网易,网游,战争策略
我叫MT 2,,,腾讯,网游,卡牌RPG
我叫MT,,,触控,网游,卡牌RPG
天天爱西游,,,其他,网游,卡牌RPG
天魔幻想,,,腾讯,网游,卡牌RPG
锁链战记,,,其他,网游,卡牌RPG
十万个冷笑话,,,蓝港,网游,卡牌RPG
圣斗士星矢：重生,,,其他,网游,卡牌RPG
神之刃,,,蓝港,网游,卡牌RPG
神女控,,,其他,网游,卡牌RPG
少年三国志,,,其他,网游,卡牌RPG
三国笑传,,,腾讯,网游,卡牌RPG
极略三国,,,其他, 单机弱联网,棋牌
全民水浒,,,腾讯,网游,卡牌RPG
全民挂机,,,其他,网游,回合
去吧皮卡丘,,,其他,网游,卡牌RPG
秦时明月,,,触控,网游,卡牌RPG
魔法禁书,,,其他,网游,卡牌RPG
迷你西游,,,网易,网游,卡牌RPG
撸啊撸,,,其他,网游,卡牌RPG
究极数码暴龙,,,其他,网游,卡牌RPG
欢乐西游,,,腾讯,网游,卡牌RPG
航海王强者之路,,,其他,网游,卡牌RPG
乖离性百万亚瑟王,,,网易,网游,卡牌RPG
复仇者联盟,,,其他,网游,卡牌RPG
放开那三国,,,其他,网游,卡牌RPG
小冰冰传奇,,,其他,网游,卡牌RPG
全民神将,,,其他,网游,塔防
变形金刚:崛起,,,其他,网游,卡牌RPG
百将行,,,网易,网游,卡牌RPG
MR魔法英雄,,,其他,网游,卡牌RPG
Excel杀,,,其他, 单机弱联网,棋牌
D的意志,,,其他, 单机弱联网,卡牌RPG
COS大乱斗,,,其他,网游,卡牌RPG
诛仙,,,完美,网游,MMO
征途,,,腾讯,网游,MMO
这是我的战争,,,其他,单机弱联网,战争策略
造梦西游OL,,,其他,网游,ARPG
御龙在天,,,腾讯,网游,MMO
御剑情缘,,,其他,网游,MMO
有杀气童话,,,其他,网游,卡牌RPG
英雄战魂,,,其他,网游,ARPG
倚天屠龙记,,,其他,网游,MMO
一刀流,,,其他,网游,MMO
新仙剑奇侠传,,,其他,网游,卡牌RPG
仙侠道,,,腾讯,网游,回合
仙剑奇侠传3D回合,,,其他,网游,回合
仙剑奇侠传,,,腾讯,网游,卡牌RPG
侠盗猎车手3,,,其他,单机弱联网,ARPG
圣安地列斯,,,其他,单机弱联网,ARPG
罪恶都市,,,其他,单机弱联网,ARPG
熹妃传,,,其他,网游,卡牌RPG
卧虎藏龙,,,其他,网游,MMO
维加斯,,,其他,单机弱联网,休闲益智
忘仙,,,其他,网游,MMO
亡灵杀手:夏侯,,,触控,单机弱联网,ARPG
屠龙战神,,,其他,网游,ARPG
天下HD,,,网易,网游,ARPG
天下,,,网易,网游,MMO
天天打波利,,,其他,网游,休闲益智
天天传奇,,,腾讯,网游,卡牌RPG
天龙3D,,,畅游,网游,MMO
贪婪洞窟,,,其他, 单机弱联网,休闲益智
蜀山战纪之剑侠传奇,,,蓝港,网游,MMO
神武2,,,多益,网游,回合
神雕侠侣,,,完美,网游,回合
射雕英雄传3D,,,完美,网游,卡牌RPG
少年西游记,,,其他,网游,卡牌RPG
三剑豪,,,乐逗,网游,ARPG
热血传奇,,,腾讯,网游,MMO
全民斩仙,,,腾讯,网游,MMO
全民奇迹,,,其他,网游,MMO
全民斗战神,,,腾讯,网游,ARPG
青丘狐传说,,,其他,网游,MMO
女神联盟,,,其他,网游,卡牌RPG
魔域口袋版,,,其他,网游,MMO
魔灵召唤,,,其他,网游,卡牌RPG
梦幻口袋版,,,网易,网游,回合
梦幻互通版,,,网易,网游,回合
梦幻西游,,,网易,网游,回合
六龙争霸3D,,,腾讯,网游,MMO
黎明之光,,,蓝港,网游,ARPG
口袋英雄,,,其他,网游,卡牌RPG
酒剑仙-与萌妹野外约战,,,腾讯,网游,ARPG
进化之地,,,其他,单机弱联网,MMO
新剑与魔法,,,其他,网游,MMO
剑侠世界,,,其他,网游,MMO
剑侠情缘,,,腾讯,网游,MMO
机战王,,,乐逗,单机弱联网,ARPG
火影忍者,,,腾讯,网游,ARPG
混沌与秩序：英雄,,,其他,网游,MOBA
混沌与秩序 Online,,,其他,网游,MOBA
花千骨,,,其他,网游,ARPG
后宫甄执,,,蓝港,网游,卡牌RPG
航海王启航,,,其他,网游,卡牌RPG
果宝三国,,,乐逗,网游,ARPG
怪物×联盟2,,,其他,网游,ARPG
古龙群侠传,,,其他,网游,卡牌RPG
生存战争,,,其他,单机弱联网,休闲益智
愤怒的小鸟英雄传,,,其他,单机弱联网,休闲益智
点杀泰坦,,,其他,单机弱联网,休闲益智
大主宰,,,其他,网游,卡牌RPG
大话西游,,,网易,网游,回合
大话2口袋版,,,网易,网游,回合
潮爆三国,,,腾讯,网游,卡牌RPG
不良人,,,其他,网游,卡牌RPG
傲世西游,,,其他,网游,卡牌RPG
暗黑战神,,,其他,网游,ARPG
暗黑黎明,,,其他,网游,ARPG
艾诺迪亚4,,,其他,单机弱联网,ARPG
QQ降龙2,,,其他,网游,回合
QQ降龙,,,其他,网游,回合
自由之战,,,其他,网游,MOBA
虚荣,,,其他,网游,MOBA
全民超神,,,腾讯,网游,MOBA
未来之战,,,其他,网游,ARPG
乱斗西游2,,,网易,网游,卡牌RPG
刀塔西游,,,其他,网游,MOBA
真实武器模拟器,,,其他,单机弱联网,枪战射击
侦察坦克3D,,,其他,单机弱联网,枪战射击
战争之王,,,其他,网游,战争策略
战警:坦克游戏,,,其他,单机弱联网,枪战射击
战舰帝国,,,其他,网游,战争策略
勇闯死人谷,,,其他,单机弱联网,休闲益智
驯龙战机3D,,,腾讯,网游,飞行射击
熊出没之丛林大战2,,,其他,单机弱联网,枪战射击
熊出没之丛林大战,,,其他,单机弱联网,枪战射击
小小枪战：反恐精英,,,其他,单机弱联网,枪战射击
现代战争 5,,,其他,单机弱联网,枪战射击
无尽之战,,,其他,单机弱联网,飞行射击
天天枪战,,,其他,网游,枪战射击
坦克世界:闪电战,,,其他,单机弱联网,休闲益智
坦克前线：帝国OL,,,其他,网游,战争策略
坦克前线,,,其他,网游,战争策略
坦克1990,,,其他,单机弱联网,枪战射击
使命召唤：突击队,,,其他,单机弱联网,枪战射击
生化危机4新版,,,其他,单机弱联网,枪战射击
射箭大师 3D,,,其他,单机弱联网,休闲益智
杀手之狙击之神,,,其他,单机弱联网,枪战射击
热血奥特超人,,,其他,单机弱联网,ARPG
全民突袭,,,其他,网游,枪战射击
全民突击,,,腾讯,网游,枪战射击
全民枪战2,,,畅游,网游,枪战射击
全民枪王,,,腾讯,网游,枪战射击
全民枪神,,,其他,网游,枪战射击
奇幻射击最新版,,,其他, 单机弱联网,枪战射击
炮艇战：直升机 3D,,,其他,单机弱联网,飞行射击
炮艇战：3D战舰,,,其他,单机弱联网,飞行射击
猎鹿人2014,,,其他,单机弱联网,飞行射击
雷霆X战机2(豪华单机版),,,其他,单机弱联网,飞行射击
雷射战机,,,其他,网游,飞行射击
雷电2015(雷霆版),,,其他,单机弱联网,飞行射击
空战1945,,,其他,单机弱联网,飞行射击
巨炮战队,,,其他,网游,战争策略
狙击行动：代号猎鹰,,,其他,单机弱联网,枪战射击
精英部队,,,其他,单机弱联网,枪战射击
禁锢坦克,,,其他,单机弱联网,休闲益智
僵尸前线3D,,,其他,单机弱联网,飞行射击
剑圣无双,,,其他,单机弱联网,ARPG
机械战警,,,其他,单机弱联网,飞行射击
火线指令2,,,其他,单机弱联网,枪战射击
火线指令:诺曼底,,,其他,单机弱联网,枪战射击
火线精英3D,,,其他,单机弱联网,飞行射击
火线精英,,,其他,单机弱联网,枪战射击
魂斗罗进化革命,,,触控,单机弱联网,飞行射击
红色坦克4D,,,其他,单机弱联网,飞行射击
合金弹头无限币,,,其他,单机弱联网,枪战射击
关键任务-特警行动,,,其他,单机弱联网,枪战射击
关键任务-特警行动,,,其他,单机弱联网,枪战射击
愤怒的小鸟变形金刚,,,其他,单机弱联网,休闲益智
夺命侏罗纪,,,其他,网游,枪战射击
独立防线,,,腾讯,网游,枪战射击
巅峰战舰,,,其他,网游,战争策略
弹弹岛2,,,其他,网游,飞行射击
超级坦克大战2014,,,其他,单机弱联网,飞行射击
暴击僵尸2015,,,其他,单机弱联网,枪战射击
现代战争4,,,其他,单机弱联网,枪战射击
3D直升机-炮艇战,,,其他,单机弱联网,飞行射击
3D坦克争霸,,,其他,网游,枪战射击
罪恶之地,,,其他,单机弱联网,ARPG
正常的大冒险,,,其他,单机弱联网,休闲益智
游龙英雄,,,腾讯,网游,ARPG
勇者大冒险,,,腾讯,网游,枪战射击
英雄之剑,,,蓝港,网游,ARPG
英雄大作战,,,其他,单机弱联网,休闲益智
异形大战铁血战士 进化,,,其他,单机弱联网,ARPG
旋风少女,,,其他,网游,ARPG
无尽之剑命运,,,腾讯,网游,ARPG
天天格斗,,,其他,单机弱联网,ARPG
泰拉瑞亚,,,其他,单机弱联网,模拟经营
太极熊猫,,,其他,网游,ARPG
神魔,,,其他,网游,ARPG
杀手2-影子阴谋,,,其他,单机弱联网,ARPG
三国之刃,,,腾讯,网游,ARPG
赛尔号超级英雄,,,其他,网游,ARPG
拳皇98格斗,,,其他,单机弱联网,ARPG
拳皇98 终极之战-OL,,,腾讯,网游,卡牌RPG
拳皇97高清版,,,其他,单机弱联网,ARPG
拳皇97,,,其他,单机弱联网,ARPG
拳皇2012,,,其他,网游,ARPG
全民无双,,,腾讯,网游,ARPG
魔龙与勇士,,,腾讯,网游,ARPG
龙珠激斗（七龙珠正版手游）,,,腾讯,网游,卡牌RPG
龙之丘,,,其他,网游,ARPG
火柴人突击格斗,,,其他,单机弱联网,ARPG
恐龙快打,,,其他,单机弱联网,ARPG
恐龙快打,,,其他,单机弱联网,ARPG
看你怎么死,,,其他,单机弱联网,休闲益智
九龙战,,,腾讯,网游,ARPG
剑魂之刃,,,昆仑,网游,ARPG
火柴人联盟,,,其他,单机弱联网,ARPG
滑雪大冒险2,,,其他,单机弱联网,休闲益智
横扫西游,,,腾讯,网游,ARPG
合金弹头2,,,其他,单机弱联网,飞行射击
宫爆老奶奶2,,,腾讯,单机弱联网,休闲益智
宫爆：老奶奶家族篇,,,其他,单机弱联网,休闲益智
功夫熊猫3,,,网易,网游,ARPG
格斗江湖,,,其他,网游,ARPG
斗龙战士3龙印之战,,,其他,网游,ARPG
超级电玩城,,,其他,单机弱联网,休闲益智
超凡蜘蛛侠2,,,其他,单机弱联网,ARPG
崩坏学园2,,,其他,单机弱联网,枪战射击
暗影格斗2,,,其他,单机弱联网,ARPG
战争总动员,,,其他,网游,战争策略
战警:大国崛起,,,其他,网游,战争策略
小小帝国,,,其他,单机弱联网,战争策略
天天斗三国,,,腾讯,网游,COC类
复兴.罗马帝国,,,其他,网游,战争策略
坦克风云,,,其他,网游,战争策略
世界征服者3,,,其他,单机弱联网,战争策略
丧尸之战,,,其他,单机弱联网,战争策略
三国群英传一,,,其他,单机弱联网,战争策略
七雄争霸,,,腾讯,网游,战争策略
欧陆战争3,,,其他,单机弱联网,战争策略
陌陌争霸,,,其他,网游,战争策略
龙骑帝国,,,腾讯,网游,COC类
COK列王的纷争,,,其他,网游,战争策略
口袋妖怪复刻,,,其他,网游,ARPG
剪警王牌坦克,,,其他,单机弱联网,战争策略
剪警坦克帝国OL,,,其他,网游,战争策略
红色警戒军团,,,其他,单机弱联网,战争策略
红警2共和国崛起,,,其他,单机弱联网,战争策略
横扫千军,,,其他,网游,战争策略
海岛奇兵,,,昆仑,网游,COC类
最高警戒,,,其他,单机弱联网,战争策略
辐射:庇护所,,,其他,单机弱联网,战争策略
风云天下OL,,,其他,网游,战争策略
